TypeStay,GuestNationality,Region,Month,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Nights stay,Total,Region Nordjylland,February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7402,8111,8090,8212,8559,9416,8757
Nights stay,Total,Region Nordjylland,March,9134,23833,43924,48036,27119,38954,35250,40056,51459,44380,64043,33451,39504,65838,30870,39631,81903,24348,39831,27918,34707,55707,31802,20957,40546,19605,32138,19573,13297,29906
Nights stay,Total,Region Nordjylland,April,72051,78488,88439,98488,86238,63850,88864,94053,122479,115228,110347,137016,142549,129672,141116,147255,151975,167347,145516,176458,156013,135221,138675,137235,128478,143368,126310,152791,89079,0
Nights stay,Total,Region Nordjylland,May,152505,197883,201108,167890,167999,177554,183181,193086,155268,168951,193417,185603,225848,214903,189925,234524,255667,245797,240723,203458,254118,223520,199326,220178,219889,197234,219002,203299,167285,0
Nights stay,Total,Region Nordjylland,June,345902,298436,283649,323256,278380,285195,285275,256233,299462,271653,253155,301612,281267,267020,276402,267377,278857,297328,284130,346000,268124,252479,278439,261330,259051,276863,254121,284765,228055,0
Nights stay,Total,Region Nordjylland,July,1410511,1180749,1151883,1209992,1130229,1168711,996330,1034630,908942,967061,984236,988950,953448,905439,954862,861319,898343,858715,867880,880742,825062,836796,841966,786923,763054,730922,812543,804572,919711,0
Nights stay,Total,Region Nordjylland,August,506348,426288,541798,530227,452754,537171,475551,499376,425133,403690,414475,479408,471502,496210,527382,520045,467304,419450,420573,431686,412971,380299,391771,397991,391643,372575,373857,371953,422395,0
Nights stay,Total,Region Nordjylland,September,78885,78950,85329,85337,81935,98687,94752,105998,95262,89309,98687,117118,109246,124636,129035,126307,128917,144785,127494,117102,120059,115374,115555,108951,118141,115805,113064,116976,148309,0
Nights stay,Total,Region Nordjylland,October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37329,39203,40360,44818,47148,59388,0
Nights stay,Total,Region Nordjylland,November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9053,9814,11444,11113,10480,10924,0
Nights stay,Total,Region Nordjylland,December,29829,40567,45590,47628,44554,51530,50213,54082,47653,52691,55383,52328,64189,65490,57972,66728,71807,66309,56457,60266,53789,55618,51803,8422,9206,10995,11516,11003,8943,0
Nights stay,Denmark,All Denmark,January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55828,76455,64095,66625,66497,65468,67627
Nights stay,Denmark,All Denmark,February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57596,73205,66056,66676,67366,68938,75620
Nights stay,Denmark,All Denmark,March,134052,124121,137942,125256,96997,158859,132225,133504,148579,145869,279117,159139,168641,328374,166474,204739,468422,194857,273669,188475,243453,274501,210598,139143,233302,137166,177666,117606,93646,186840
Nights stay,Denmark,All Denmark,April,419161,476249,455985,477047,430727,366371,441972,475118,565065,536506,534598,677776,665934,595366,678090,793661,693544,789058,722293,847996,729127,629145,722304,694863,623715,703420,629437,708173,477085,0
