TypeStay,GuestNationality,Region,Month,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Nights stay,Sweden,Region Midtjylland,March,55,22,44,22,92,24,56,102,109,278,186,134,241,385,157,109,221,1144,140,121,35,172,303,156,106,106,120,79,21,34
Nights stay,Sweden,Region Midtjylland,April,391,269,173,280,104,356,126,103,277,218,136,620,1044,169,498,516,1021,500,233,510,219,245,437,517,256,444,575,420,9,0
Nights stay,Sweden,Region Midtjylland,May,839,687,853,683,574,867,1508,1395,1428,1546,775,1322,1068,820,891,906,860,746,1001,894,849,918,1462,1398,1180,1117,1029,763,2,0
Nights stay,Sweden,Region Midtjylland,June,11794,7593,5676,6453,6124,6453,4299,5163,6821,4993,4075,3738,2859,4152,3249,2533,3019,2219,2527,2281,2631,3771,3622,3675,3225,2137,3035,2771,123,0
Nights stay,Sweden,Region Midtjylland,July,53753,28684,33421,34456,33427,34700,23616,25181,26262,17801,16060,15465,12273,12819,14745,11299,9404,8138,10022,9942,10123,11168,10287,10689,8973,9954,9818,8454,792,0
Nights stay,Sweden,Region Midtjylland,August,10222,6766,6172,8214,6574,6622,6767,8725,6697,5214,3860,4792,4588,5083,5201,4330,3221,2007,3387,3408,2958,3486,3090,3305,4276,3733,3606,2241,592,0
Nights stay,Sweden,Region Midtjylland,September,395,651,337,666,595,877,769,313,481,1279,746,228,758,626,439,446,612,419,378,387,626,491,408,478,772,664,640,424,273,0
Nights stay,Sweden,Region Midtjylland,October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378,135,80,258,197,71,0
Nights stay,Sweden,Region Midtjylland,November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,139,114,85,24,0,0
Nights stay,Sweden,Region Midtjylland,December,122,314,73,60,58,169,74,167,756,199,134,164,707,353,419,176,1491,711,88,137,304,527,521,59,51,20,38,65,0,0
Nights stay,Sweden,Region Nordjylland,January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,7,7,7,16,2,0
Nights stay,Sweden,Region Nordjylland,February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,85,12,21,0,21,0
Nights stay,Sweden,Region Nordjylland,March,57,67,12,622,1230,622,754,143,119,133,103,480,171,91,64,30,110,20,23,44,334,1424,149,125,656,84,224,113,9,10
Nights stay,Sweden,Region Nordjylland,April,400,475,306,590,1038,747,590,618,663,592,380,507,616,312,1466,367,121,428,222,793,1056,691,707,1270,586,1139,738,897,8,0
Nights stay,Sweden,Region Nordjylland,May,3736,3016,2749,3220,2905,2823,2616,2298,2073,2277,2062,1545,2200,956,1578,1364,1101,906,985,1587,1143,1153,1496,1557,1653,1665,1656,1175,22,0
Nights stay,Sweden,Region Nordjylland,June,32698,18413,15915,15812,13324,14266,10627,8762,9785,8435,7909,7876,5950,4878,5649,4055,3206,2482,3188,3497,3916,4454,4984,5094,4529,4478,4715,4213,299,0
Nights stay,Sweden,Region Nordjylland,July,188739,92667,111886,84473,83457,95327,65989,62685,53139,51396,48932,46962,41743,38585,37728,24755,23361,13355,16537,19097,16443,19069,20780,18837,19877,19864,22161,17151,703,0
Nights stay,Sweden,Region Nordjylland,August,32438,16109,22275,18416,18010,23296,14210,18452,14871,12370,12462,12514,12913,12374,9465,8023,5795,3389,6136,6464,6254,6625,6501,6377,7881,7248,6816,5209,1234,0
Nights stay,Sweden,Region Nordjylland,September,935,629,950,737,880,1776,999,1062,1191,694,854,839,656,953,953,558,968,468,638,963,811,1090,774,955,1164,968,1052,714,572,0
Nights stay,Sweden,Region Nordjylland,October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,262,300,287,124,90,0
Nights stay,Sweden,Region Nordjylland,November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,25,10,151,8,6,0
Nights stay,Sweden,Region Nordjylland,December,90,110,293,265,296,618,100,314,285,186,133,113,130,1345,265,140,233,163,126,106,275,524,453,52,30,16,14,22,0,0
Nights stay,Norway,All Denmark,January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,634,552,595,300,676,546,14
Nights stay,Norway,All Denmark,February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488,556,518,552,689,807,25
Nights stay,Norway,All Denmark,March,176,126,288,76,93,263,182,223,219,481,1474,1017,336,1946,1260,2567,5182,1128,2378,2667,3320,5269,3307,3304,6645,1622,5329,2023,766,562
Nights stay,Norway,All Denmark,April,1337,891,793,1110,719,565,915,1951,2540,2215,1198,4222,3690,2591,5958,6671,3057,5976,5436,10122,9644,5950,11728,8594,4855,14043,5693,15402,595,0
Nights stay,Norway,All Denmark,May,2552,2630,3097,2410,2719,2638,2816,3719,2571,3555,4057,4575,4616,5824,7219,6221,7832,7034,8470,8999,9730,11080,8995,10625,10711,11003,15976,13165,450,0
Nights stay,Norway,All Denmark,June,31040,25524,23953,25610,26413,26559,21925,23608,20618,21733,23190,25876,20594,22853,21972,23021,25363,24168,27239,30408,25632,28806,31629,32477,31151,31505,34628,36496,11830,0
Nights stay,Norway,All Denmark,July,203646,170653,177509,167420,168419,194193,161633,186037,175930,164248,168150,170635,152900,164698,176468,170738,158311,135882,169630,165189,162513,179475,201129,204460,193026,187771,208614,205973,82162,0
Nights stay,Norway,All Denmark,August,41177,32876,36892,35351,37167,46139,35466,43882,40170,36325,36540,42306,42898,48756,46685,44600,38947,36653,38808,38368,37052,42600,42217,44324,46411,44771,46091,40652,19325,0
Nights stay,Norway,All Denmark,September,1824,1266,1376,1302,1180,1777,1930,2403,2668,2106,3351,3460,2684,4598,5569,5351,5250,6012,5610,6348,5654,6698,7457,6727,7357,6973,7779,7346,3641,0
Nights stay,Norway,All Denmark,October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3580,4673,5133,4779,3575,794,0
Nights stay,Norway,All Denmark,November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,944,999,1209,1010,1339,347,0
Nights stay,Norway,All Denmark,December,520,556,361,448,224,483,287,1070,1419,1377,1706,852,1605,3409,3245,2999,3941,4267,5407,5240,4911,6301,4938,657,869,832,1061,840,231,0
Nights stay,Norway,Region Hovedstaden,January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,43,32,23,159,50,0
Nights stay,Norway,Region Hovedstaden,February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,25,78,81,96,91,2
Nights stay,Norway,Region Hovedstaden,March,5,20,0,9,9,79,8,44,33,38,103,254,46,256,660,541,579,144,366,121,221,1017,428,456,946,250,1008,229,94,24
Nights stay,Norway,Region Hovedstaden,April,49,96,72,32,29,37,28,78,257,207,97,279,557,114,1022,790,319,810,652,1523,1382,477,1999,1110,480,1979,439,2187,24,0
Nights stay,Norway,Region Hovedstaden,May,276,337,355,373,155,179,214,258,260,407,470,231,702,495,701,618,613,655,826,800,787,943,881,806,1140,1006,1785,1066,3,0
Nights stay,Norway,Region Hovedstaden,June,3714,2660,2517,3039,3259,4712,3314,3047,2791,2934,2987,3541,2372,2454,2350,2044,2841,2516,2271,2616,2592,2472,2932,2626,3028,2749,3743,4591,623,0
Nights stay,Norway,Region Hovedstaden,July,20034,19683,18444,20551,22599,27889,23458,25850,25854,24557,24323,22585,18914,15749,16953,15353,17750,14686,16811,16677,17206,16926,16961,16562,17201,14867,17089,17498,4898,0
Nights stay,Norway,Region Hovedstaden,August,4168,4557,3965,4414,3625,6755,5270,5352,6998,4700,4368,5010,5040,4511,3840,3313,4466,3889,3577,3537,4022,3936,4227,3965,4201,4229,4623,4489,1202,0
Nights stay,Norway,Region Hovedstaden,September,277,106,113,174,120,189,172,250,125,629,454,245,357,442,869,752,1129,855,875,1078,860,910,781,848,1010,856,763,662,43,0
Nights stay,Norway,Region Hovedstaden,October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,673,527,431,436,157,0
Nights stay,Norway,Region Hovedstaden,November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,157,151,147,162,35,0
Nights stay,Norway,Region Hovedstaden,December,176,36,3,34,44,14,29,36,46,220,144,191,158,730,622,654,1181,646,796,750,915,870,833,88,53,113,166,136,8,0
Nights stay,Norway,Region Sjælland,January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,103,73,17,4,7,4
Nights stay,Norway,Region Sjælland,February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,63,45,16,12,11,0
Nights stay,Norway,Region Sjælland,March,12,11,46,31,0,2,0,14,8,28,45,16,22,48,181,74,188,142,265,209,335,678,795,168,272,238,170,22,7,0
Nights stay,Norway,Region Sjælland,April,24,70,46,56,6,17,11,41,147,185,76,249,223,48,603,369,263,505,476,716,615,566,1175,598,226,891,258,599,0,0
Nights stay,Norway,Region Sjælland,May,327,118,107,61,161,128,96,271,112,211,293,313,331,241,606,417,356,474,578,452,569,938,905,615,669,709,890,683,13,0
Nights stay,Norway,Region Sjælland,June,2097,1064,1290,1104,1057,1624,1181,1501,1308,2675,1904,2140,1453,1465,1730,1708,2193,1625,1816,1939,1695,1890,1986,2176,1727,1859,1742,1843,349,0
Nights stay,Norway,Region Sjælland,July,11645,8778,8104,6894,7416,9319,9171,10331,16838,12638,16295,16255,13553,12283,14693,16527,14710,12136,13426,13771,12435,14095,13718,15576,13418,12229,13170,14380,4032,0
Nights stay,Norway,Region Sjælland,August,2390,1660,1600,1655,1390,2086,2175,2120,3200,3006,3291,3405,3184,3789,3598,3693,2790,2847,3179,2649,3045,2876,2872,3021,3172,2833,2805,2230,954,0
Nights stay,Norway,Region Sjælland,September,111,120,80,171,138,88,70,112,430,266,157,192,230,254,481,241,209,596,520,517,674,754,431,405,564,488,450,359,153,0
Nights stay,Norway,Region Sjælland,October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,96,77,89,42,20,0
Nights stay,Norway,Region Sjælland,November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,141,28,11,18,13,0
Nights stay,Norway,Region Sjælland,December,126,14,9,17,39,1,3,7,28,208,51,60,431,318,126,110,145,986,720,334,482,970,264,20,133,24,72,6,6,0
Nights stay,Norway,Region Syddanmark,January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,115,146,82,47,57,2
Nights stay,Norway,Region Syddanmark,February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,121,93,123,130,93,15
Nights stay,Norway,Region Syddanmark,March,137,30,52,4,20,35,20,64,25,32,244,303,138,572,108,1014,1553,411,811,1057,744,778,273,1458,2310,396,1466,72,58,4
Nights stay,Norway,Region Syddanmark,April,368,206,172,186,134,175,146,466,585,452,219,1346,1083,688,1173,2024,727,1665,1719,2955,2569,908,2467,2134,1010,4064,1084,4834,5,0
Nights stay,Norway,Region Syddanmark,May,569,551,612,359,572,629,496,819,477,886,1050,1746,1268,1301,1624,1325,2242,1650,2475,2594,2149,2726,2441,2961,2957,3183,5029,3353,35,0
Nights stay,Norway,Region Syddanmark,June,8419,7342,6991,7162,6615,6718,5873,6753,4613,4814,6518,7151,6200,6269,6185,6787,7919,7143,9011,10959,8278,9394,10543,10717,10544,10781,11409,10924,3593,0
Nights stay,Norway,Region Syddanmark,July,50004,38447,38470,35664,36352,41570,37882,48945,46284,44199,44654,50632,45311,46432,51156,55006,47972,45603,60449,54927,52422,59543,67494,73249,64301,65336,69701,62396,22906,0
Nights stay,Norway,Region Syddanmark,August,8243,7146,7308,5073,7042,8942,7153,9117,8931,8909,9406,12082,13844,14332,12052,13340,9437,13797,12539,11619,10147,14865,10418,12814,13959,13985,13192,11423,4689,0
Nights stay,Norway,Region Syddanmark,September,278,240,246,237,480,349,535,924,510,421,897,1120,634,1163,841,1230,1436,1634,1375,1215,1138,1430,1940,1825,1851,1845,2436,1953,1138,0
Nights stay,Norway,Region Syddanmark,October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1207,1954,2772,2732,1683,85,0
Nights stay,Norway,Region Syddanmark,November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,165,196,191,189,34,0
Nights stay,Norway,Region Syddanmark,December,47,81,10,24,25,207,116,284,148,176,243,197,612,958,1232,854,1214,1002,2252,1870,1100,1504,1542,149,266,278,265,128,34,0
Nights stay,Norway,Region Midtjylland,January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,72,77,9,46,40,0
Nights stay,Norway,Region Midtjylland,February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,88,12,13,30,34,0
Nights stay,Norway,Region Midtjylland,March,20,37,152,8,10,55,82,10,41,164,263,20,40,483,114,655,692,115,203,152,340,431,291,326,609,177,368,163,37,0
Nights stay,Norway,Region Midtjylland,April,355,186,221,279,173,73,236,437,583,464,130,1019,764,500,1047,691,475,606,552,992,817,471,1371,952,410,1249,475,1406,13,0
Nights stay,Norway,Region Midtjylland,May,359,530,536,384,537,392,534,497,339,368,478,659,670,1222,1298,1016,1064,989,1203,889,1005,1253,992,1240,995,1197,1581,1076,11,0
Nights stay,Norway,Region Midtjylland,June,5038,3688,3908,4285,4736,3811,2751,2998,2401,3026,2961,4435,2635,3844,3498,3418,3727,3618,4986,4270,3636,4246,5130,5050,4613,4758,4735,5302,1502,0
Nights stay,Norway,Region Midtjylland,July,40432,32739,36253,35072,33018,36928,30786,31940,30598,26262,28464,28030,25558,27246,31511,28532,23627,22887,28163,26929,25463,30522,37193,33884,34543,32905,34178,36109,13928,0
Nights stay,Norway,Region Midtjylland,August,7152,5944,6854,7801,7383,7989,5479,7420,5895,5726,5367,7069,6468,7439,7429,6594,5764,4978,5277,5986,4926,5460,6571,6407,7815,7174,6877,5617,2143,0
Nights stay,Norway,Region Midtjylland,September,699,396,488,245,137,556,660,409,381,253,364,852,453,926,979,1322,541,728,606,472,401,576,588,984,1020,893,644,840,140,0
Nights stay,Norway,Region Midtjylland,October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,706,490,443,275,298,46,0
Nights stay,Norway,Region Midtjylland,November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,171,346,67,334,6,0
Nights stay,Norway,Region Midtjylland,December,149,356,60,104,27,79,45,158,429,100,591,150,90,474,380,351,416,346,470,475,226,635,426,82,97,22,47,52,18,0
Nights stay,Norway,Region Nordjylland,January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437,219,267,169,420,392,8
Nights stay,Norway,Region Nordjylland,February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,259,290,319,421,578,8
Nights stay,Norway,Region Nordjylland,March,2,28,38,24,54,92,72,91,112,219,819,424,90,587,197,283,2170,316,733,1128,1680,2366,1520,896,2508,561,2317,1537,570,534
Nights stay,Norway,Region Nordjylland,April,541,333,282,557,377,263,494,929,968,907,676,1329,1063,1241,2113,2797,1273,2390,2037,3936,4261,3528,4716,3800,2729,5860,3437,6376,553,0
Nights stay,Norway,Region Nordjylland,May,1021,1094,1487,1233,1294,1310,1476,1874,1383,1683,1766,1626,1645,2565,2990,2845,3557,3266,3388,4264,5220,5220,3776,5003,4950,4908,6691,6987,388,0
Nights stay,Norway,Region Nordjylland,June,11772,10770,9247,10020,10746,9694,8806,9309,9505,8284,8820,8609,7934,8821,8209,9064,8683,9266,9155,10624,9431,10804,11038,11908,11239,11358,12999,13836,5763,0
Nights stay,Norway,Region Nordjylland,July,81531,71006,76238,69239,69034,78487,60336,68971,56356,56592,54414,53133,49564,62988,62155,55320,54252,40570,50781,52885,54987,58389,65763,65189,63563,62434,74476,75590,36398,0
Nights stay,Norway,Region Nordjylland,August,19224,13569,17165,16408,17727,20367,15389,19873,15146,13984,14108,14740,14362,18685,19766,17660,16490,11142,14236,14577,14912,15463,18129,18117,17264,16550,18594,16893,10337,0
Nights stay,Norway,Region Nordjylland,September,459,404,449,475,305,595,493,708,1222,537,1479,1051,1010,1813,2399,1806,1935,2199,2234,3066,2581,3028,3717,2666,2912,2891,3486,3533,2167,0
Nights stay,Norway,Region Nordjylland,October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1053,1459,1314,1253,1116,486,0
Nights stay,Norway,Region Nordjylland,November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443,365,488,594,636,259,0
Nights stay,Norway,Region Nordjylland,December,22,69,279,269,89,182,94,585,768,673,677,254,314,929,885,1030,985,1287,1169,1811,2188,2322,1874,318,320,395,511,518,165,0
Nights stay,Germany,All Denmark,January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7046,5562,6277,6404,5702,6674,722
Nights stay,Germany,All Denmark,February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5612,5403,5687,4905,5039,5207,1271
Nights stay,Germany,All Denmark,March,10681,12232,22022,16433,18618,46263,15810,17967,12334,11953,41551,15959,19985,47536,15405,29392,62541,22947,27854,18483,26403,37823,29809,17060,34827,14522,22275,11953,8275,1783
Nights stay,Germany,All Denmark,April,88567,106069,107157,120090,116484,96422,121894,115808,139675,114263,105989,132310,113542,79832,100478,114831,73260,108880,91232,120539,98788,71794,106165,101375,76718,107000,87265,121237,2576,0
Nights stay,Germany,All Denmark,May,170618,240077,267803,201114,234753,243358,226728,239753,147674,174078,208767,170277,211730,200659,150607,185761,194496,195365,173680,119920,174325,161996,148667,180564,176750,158430,207590,168704,6962,0
Nights stay,Germany,All Denmark,June,375703,338204,278159,367986,315704,276873,294787,245602,325079,256523,223687,268638,199709,187214,215147,215786,206636,202460,182038,249982,181902,181611,214545,181368,201140,229000,221856,293860,152261,0
Nights stay,Germany,All Denmark,July,1177317,1124013,904013,1214651,1079446,951106,725732,702651,615273,707208,703094,680026,637184,658734,610191,493594,512520,536205,560331,503254,443575,494363,403275,394012,440683,420507,592322,646618,675497,0
Nights stay,Germany,All Denmark,August,791825,728739,1034653,848933,720049,917104,942378,915354,789614,709132,608006,793544,635674,563580,613964,590934,519763,492339,442317,394180,395534,352161,500704,538088,498811,477382,460926,470682,625166,0
Nights stay,Germany,All Denmark,September,128183,129214,128180,137845,140727,161129,136529,147695,137989,123819,143587,151181,138240,135471,139256,131415,126964,124673,116702,105477,119871,112442,128731,122451,138765,130091,138586,143864,204570,0
Nights stay,Germany,All Denmark,October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50126,57608,58089,65469,81874,83603,0
Nights stay,Germany,All Denmark,November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10965,8443,6957,7308,7813,5548,0
Nights stay,Germany,All Denmark,December,27349,39539,42646,49981,54008,58786,55973,52903,53850,61463,59999,55228,56841,72517,77059,75270,70668,65912,64376,63188,64411,77101,68646,9199,8665,10039,11634,12836,5350,0
Nights stay,Germany,Region Hovedstaden,January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,178,147,401,329,179,53
Nights stay,Germany,Region Hovedstaden,February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,386,169,160,338,123,36
Nights stay,Germany,Region Hovedstaden,March,277,264,229,498,239,598,133,453,80,1080,531,490,464,1840,1917,4304,2699,2065,2065,1059,1064,2458,2684,788,1667,929,1018,983,451,192
Nights stay,Germany,Region Hovedstaden,April,945,1040,966,920,369,704,788,1168,932,660,890,1160,531,872,1268,2781,1519,1373,1643,1522,1380,1017,1980,2108,1510,2234,2085,3607,137,0
Nights stay,Germany,Region Hovedstaden,May,3572,5383,7729,3752,6023,4421,3354,4339,2493,4330,3245,3070,3333,3325,4194,5837,5050,3903,4773,3298,4450,5001,4807,5079,6327,5332,6904,8301,150,0
Nights stay,Germany,Region Hovedstaden,June,15603,17571,14590,17793,18228,15799,13908,13345,18219,11212,11664,9334,8784,7992,10199,12033,11160,10022,8620,11161,10426,10049,10732,11726,14110,15395,16347,23682,5998,0
Nights stay,Germany,Region Hovedstaden,July,55875,66794,55456,66526,65975,57392,47685,42142,45548,50400,46431,37070,30851,38565,32101,32236,32750,35306,35256,34649,28020,31643,27293,30890,33392,32253,44972,58815,42467,0
Nights stay,Germany,Region Hovedstaden,August,61463,51346,74274,61888,49846,67777,73242,66387,59213,50724,40689,51210,38873,39161,41138,40285,34359,26525,26505,25831,26085,26054,44033,42245,42540,41422,36632,39702,34853,0
Nights stay,Germany,Region Hovedstaden,September,7198,6093,9275,5829,5635,6300,5956,6215,6173,5954,4945,4177,4388,4005,7028,6428,5915,5037,5148,4033,5521,4988,5632,6434,6960,6778,8710,10209,10741,0
Nights stay,Germany,Region Hovedstaden,October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2708,2706,2356,2812,2986,1633,0
Nights stay,Germany,Region Hovedstaden,November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,627,339,345,398,222,93,0
Nights stay,Germany,Region Hovedstaden,December,674,934,751,1225,1529,1534,1284,1009,1413,2986,1983,1744,2854,3071,3844,5066,3364,3518,2935,3208,4551,2757,3003,221,252,436,506,275,68,0
Nights stay,Germany,Region Sjælland,January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,193,514,98,70,106,142
Nights stay,Germany,Region Sjælland,February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,164,201,104,124,134,73
Nights stay,Germany,Region Sjælland,March,187,247,302,76,88,775,26,675,51,46,1895,191,915,1610,1137,1457,2011,636,251,56,422,2534,4087,134,282,599,245,136,215,192
Nights stay,Germany,Region Sjælland,April,2047,3052,1998,2316,1319,1243,1437,1539,1908,1660,2464,2190,1551,1626,1151,2263,1248,1153,2520,1409,1069,1282,2514,993,892,1268,1038,1762,88,0
Nights stay,Germany,Region Sjælland,May,4073,6664,5718,3421,4114,4155,3020,4194,2597,2801,4611,4173,3419,4670,3386,4114,3810,3183,2658,2092,2999,3319,3900,3325,4130,3556,4832,7656,195,0
Nights stay,Germany,Region Sjælland,June,13161,12842,8703,11015,8361,7740,6788,7169,10028,8775,8754,8976,5653,7236,6683,7917,7969,5449,5854,7558,5206,7065,7678,6804,9497,9718,9223,12817,3319,0
Nights stay,Germany,Region Sjælland,July,54786,48772,38191,48654,42067,35540,28434,28504,27222,30206,30731,28591,25285,29334,26479,24782,23768,24646,26600,20223,18450,23983,20812,21155,27015,24066,34214,39663,25435,0
Nights stay,Germany,Region Sjælland,August,41076,32024,39459,33721,27916,33062,35409,39562,33671,29977,26845,38517,24968,25376,29807,29257,25995,22306,19153,17106,18541,18975,28378,30940,31550,25099,27579,26626,22785,0
Nights stay,Germany,Region Sjælland,September,4409,4733,3610,3652,3651,3635,3232,3449,3062,2689,3689,3937,4085,3560,4410,3815,5819,2934,2360,2506,3685,3766,4700,3781,5548,3900,3856,4172,5332,0
Nights stay,Germany,Region Sjælland,October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,990,687,557,797,1095,1447,0
Nights stay,Germany,Region Sjælland,November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540,1044,177,272,100,448,0
Nights stay,Germany,Region Sjælland,December,604,453,458,607,592,259,349,298,379,838,622,1032,673,2234,2901,2562,2204,727,641,1181,3295,4307,1284,683,1034,129,126,186,288,0
Nights stay,Germany,Region Syddanmark,January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4715,4277,4402,4850,4480,5042,441
Nights stay,Germany,Region Syddanmark,February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4553,4244,4459,3953,4059,4236,917
Nights stay,Germany,Region Syddanmark,March,7588,8068,10210,8625,11922,34501,12091,13341,10371,8222,31098,11211,14432,34779,9238,18411,47128,15205,20340,13601,20198,25988,19535,11842,23575,10455,16553,9084,6458,794
Nights stay,Germany,Region Syddanmark,April,57533,71799,79102,86866,87275,74105,88042,90304,104673,85748,81134,99395,84035,58813,74394,84706,54560,80595,66278,87648,72254,54775,76997,74141,58468,78032,65427,88063,2086,0
Nights stay,Germany,Region Syddanmark,May,121650,161395,177877,141052,167986,175971,161135,178622,106729,128259,152118,121492,155426,144776,105157,130668,142071,143687,122861,80172,122778,113714,102664,127620,122342,105525,140880,109142,6145,0
Nights stay,Germany,Region Syddanmark,June,230049,193816,170616,228105,193687,168886,179670,153896,206750,167739,141125,181316,125905,117432,140686,131551,132407,130799,112513,159770,110178,108335,133492,108142,117701,134715,128853,171896,93288,0
Nights stay,Germany,Region Syddanmark,July,555614,529452,483168,634244,565413,523607,394897,389622,327793,394164,394729,401855,374636,378102,359369,273353,289916,305621,319866,276095,247520,280264,226413,220849,243283,224331,314547,339145,366997,0
Nights stay,Germany,Region Syddanmark,August,346439,338682,495628,400226,371026,458445,491796,481631,433334,403799,338041,428386,342770,290919,325533,314121,282350,281110,250219,208847,211528,190795,265547,289540,265636,251499,248840,258495,354419,0
Nights stay,Germany,Region Syddanmark,September,74166,72587,73446,82622,88597,94907,82074,93916,88898,78576,95869,95392,90465,89086,87603,84339,78952,78885,75334,70902,70536,69848,80372,76537,86332,81340,87611,90073,117060,0
Nights stay,Germany,Region Syddanmark,October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32444,38535,40182,45472,59595,57288,0
Nights stay,Germany,Region Syddanmark,November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6382,5804,5052,5743,6487,4363,0
Nights stay,Germany,Region Syddanmark,December,15160,26363,29377,30339,36927,39638,42074,39858,41015,41630,43712,39725,40969,54104,50855,47731,44700,44904,45467,39722,37553,51552,47718,6189,5924,7544,8898,9478,4361,0
Nights stay,Germany,Region Midtjylland,January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1753,662,758,696,625,941,40
Nights stay,Germany,Region Midtjylland,February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622,363,501,476,309,364,184
Nights stay,Germany,Region Midtjylland,March,2290,3333,10517,6785,5925,8975,3075,2984,1201,1946,7251,3537,3361,7308,2374,3696,8146,3361,3179,2159,3565,5408,2729,3545,6502,1488,2780,886,650,224
Nights stay,Germany,Region Midtjylland,April,22378,24918,20150,23085,20974,14629,22023,17338,24456,20131,15791,23235,19514,13307,18684,19579,11423,18423,15005,22713,17764,9537,18733,17584,10041,16867,12156,19299,191,0
